질병명,항목,내용
3도 화상,3도 화상자가 관리 방법,타지 않았거나 달라붙지 않은 옷을 제거합니다 찬물을 5~10분 동안 좁은 부위에 묻힙니다 건조하고 깨끗한 시트로 덮어줍니다 "진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 하루에 물 2리터를 섭취합니다.
3도 화상,3도 화상증상,화상 피부가 붉어짐 화상으로 인해 피부가 가죽처럼 보임 피부가 붉어지고 수포 및/또는 작은 붉은 점이 있는 부위가 있음 사지 종창
3도 화상,병원 방문 필요 증상,없음
4도 동상,4도 동상자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 젖거나 마르지 않은 옷을 벗습니다 "추위 바람 또는 습기로부터 증상이 있는 부위를 보호합니다" 증상이 있는 부위에 열을 가합니다
4도 동상,4도 동상증상,피부가 차가움 민감도 변경 사지 종창 체온이 35ºC 이하임
4도 동상,병원 방문 필요 증상,없음
A형 간염 바이러스로 인한 급성간염,A형 간염 바이러스로 인한 급성간염자가 관리 방법,"균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 증상이 최소화될 때까지 부분적으로 휴식을 취합니다. 하루에 물 2리터를 섭취합니다. 간에 독성이 있는 약물에 대해 일반의와 상의하세요 알코올 소비량을 줄입니다 "성관계를 피하고 성관계를 하는 경우 콘돔과 같은 피임 방법을 사용합니다"
A형 간염 바이러스로 인한 급성간염,A형 간염 바이러스로 인한 급성간염증상,황색 피부 및 점막 설사 오른쪽 상복부 통증 구토 오심
A형 간염 바이러스로 인한 급성간염,병원을 꼭 방문해야 하는A형 간염 바이러스로 인한 급성간염증상,복부 팽창 의식수준 상실 피부가 노란색으로 변색됨 호흡곤란 사지 및 몸통 염증
A형 대동맥 박리 - 근위,A형 대동맥 박리 - 근위증상,신체 양쪽의 맥박 강도가 다름 찌르는 듯한 등허리 통증 저혈압 굉장히 아프고 참기 힘들다 호흡이 곤란한 느낌
A형 대동맥 박리 - 근위,병원 방문 필요 증상,없음
A형 대동맥 박리 - 근위,자가 관리 방법,없음
B형 간염 바이러스로 인한 급성간염,B형 간염 바이러스로 인한 급성간염자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." "구토가 있는 경우 항구토제(디멘히드리네이트 차살리실산 비스무트 온단세트론 메토클로프라미드)를 복용합니다" 간에 독성이 있는 약물에 대해 일반의와 상의하세요 항바이러스 치료에 대해 일반의와 상의하세요 "균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 일주일에 3번 규칙적으로 운동합니다 "성관계를 피하고 성관계를 하는 경우 콘돔과 같은 피임 방법을 사용합니다"
B형 간염 바이러스로 인한 급성간염,B형 간염 바이러스로 인한 급성간염증상,황색 피부 및 점막 희끄무레한 대변 오른쪽 상복부 통증 오심 감염 위험이 있는 성행위
B형 간염 바이러스로 인한 급성간염,병원을 꼭 방문해야 하는B형 간염 바이러스로 인한 급성간염증상,의식수준 상실 복부 팽창 피부가 노란색으로 변색됨 대화하기 어려움 발 또는 발목 염증
B형 대동맥 박리 - 원위,B형 대동맥 박리 - 원위증상,찌르는 듯한 등허리 통증 신체 양쪽의 맥박 강도가 다름 굉장히 아프고 참기 힘들다 저혈압 과도 발한
B형 대동맥 박리 - 원위,병원 방문 필요 증상,없음
B형 대동맥 박리 - 원위,자가 관리 방법,없음
C-절개 상처 감염,C-절개 상처 감염자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상을 완화하기 위해 하루 3번 20분 동안 냉찜질을 합니다 물과 비누로 상처 부위를 완전히 씻어냅니다
C-절개 상처 감염,C-절개 상처 감염증상,수술 상처의 고름 경계가 부은 외과적 상처 수술 상처에서 악취가 남 수술 상처 색이 짙어짐 수술 부위의 통증
C-절개 상처 감염,병원 방문 필요 증상,없음
C형 간염 바이러스로 인한 급성간염,C형 간염 바이러스로 인한 급성간염자가 관리 방법,"균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 일주일에 3번 규칙적으로 운동합니다 알코올 소비량을 줄입니다 "성관계를 피하고 성관계를 하는 경우 콘돔과 같은 피임 방법을 사용합니다" 항바이러스 치료에 대해 일반의와 상의하세요
C형 간염 바이러스로 인한 급성간염,C형 간염 바이러스로 인한 급성간염증상,황색 피부 및 점막 희끄무레한 대변 지침/피로 국소 복통 오른쪽 상복부 통증
C형 간염 바이러스로 인한 급성간염,병원을 꼭 방문해야 하는C형 간염 바이러스로 인한 급성간염증상,의식수준 상실 복부 팽창 대화하기 어려움 피부가 노란색으로 변색됨 발 또는 발목 염증
HELLP 증후군,HELLP 증후군증상,시력 저하 종창 두통 위소와의 통증 부분 시력 상실
HELLP 증후군,병원 방문 필요 증상,없음
HELLP 증후군,자가 관리 방법,없음
HIV 바이러스 감염,HIV 바이러스 감염증상,감염 위험이 있는 성행위 발열/매우 더운 느낌 카타르 증상 과도 발한
HIV 바이러스 감염,병원 방문 필요 증상,없음
HIV 바이러스 감염,자가 관리 방법,없음
PFAPA 증후군 (소아청소년과),PFAPA 증후군 (소아청소년과)자가 관리 방법,증상이 최소화될 때까지 부분적으로 휴식을 취합니다. "진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 경구용 코르티코스테로이드에 대해 일반의와 상의하세요
PFAPA 증후군 (소아청소년과),PFAPA 증후군 (소아청소년과)증상,국소 복통 인후 통증 피부 발진 물 설사 입 궤양 또는 염증
PFAPA 증후군 (소아청소년과),병원을 꼭 방문해야 하는PFAPA 증후군 (소아청소년과)증상,"해열제(파라세타몰 이부프로펜)로도 멈추지 않는 발열"
가성 통풍 - 연골석회증,가성 통풍 - 연골석회증자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 일주일에 3번 규칙적으로 운동합니다 염증을 줄이기 위해 하루 3번 병변 부위에 국소적으로 냉찜질을 합니다 "균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 증상이 최소화될 때까지 부분적으로 휴식을 취합니다. 아치형으로 지지되는 운동화를 착용합니다
가성 통풍 - 연골석회증,가성 통풍 - 연골석회증증상,한쪽 관절의 통증 무릎 부기 무릎 통증 사지 종창 관절 종창
가성 통풍 - 연골석회증,병원을 꼭 방문해야 하는가성 통풍 - 연골석회증증상,진통제로도 멈추지 않는 통증 발열(38ºC를 초과하는 체온)
가스 팽만,가스 팽만자가 관리 방법,담배 소비량을 줄입니다 "과자 사탕 또는 정제 설탕을 피하세요" 하루에 2L의 수분공급을 유지합니다. 당분이 많이 함유된 청량음료와 과일 주스는 피하세요. 일주일에 3번 규칙적으로 운동합니다 "균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다"
가스 팽만,가스 팽만증상,복부 팽만감 배변하거나 가스를 배출하면 복통이 감소함 트림 복부가 무겁거나 속이 뒤집어지는 느낌 복부 크기 증가
가스 팽만,병원 방문 필요 증상,없음
가와사키병 (소아청소년과),가와사키병 (소아청소년과)증상,딸기 같은 혀 붉어지거나 갈라진 입술 손바닥 및/또는 발바닥이 부음 피부 발진 39ºC~39.9ºC의 열
가와사키병 (소아청소년과),병원 방문 필요 증상,없음
가와사키병 (소아청소년과),자가 관리 방법,없음
각막찰과상 - 각막 이물,각막찰과상 - 각막 이물자가 관리 방법,깨끗한 물로 눈을 헹굽니다 눈을 여러 번 깜박여 작은 이물질을 제거합니다 위쪽 눈꺼풀이 아래쪽 눈꺼풀에 닿도록 하여 눈물이 나오도록 한 후 이물질이 제거되도록 합니다 깊게 삽입된 물체를 제거하지 마세요 눈을 비비지 않습니다
각막찰과상 - 각막 이물,각막찰과상 - 각막 이물증상,혈관으로 인한 눈 충혈 눈 통증 눈에 모래가 들어간 듯한 느낌 많은 양의 눈물이 남 한쪽 눈만 충혈됨
각막찰과상 - 각막 이물,병원을 꼭 방문해야 하는각막찰과상 - 각막 이물증상,두통 발열(38ºC를 초과하는 체온) 흐린 시야.
감기 - 바이러스성 호흡기 감염,감기 - 바이러스성 호흡기 감염자가 관리 방법,의사의 지시가 없는 경우 약을 복용하지 마세요 "코울혈 및 콧물이 있는 경우 항히스타민제(세티리진 로라타딘) 및/또는 충혈제거제(슈도에페드린 페닐에프린)가 함유된 코흡입기를 사용합니다" "통증이 있는 경우 파라세타몰 이부프로펜 또는 디클로페낙과 같은 진통제를 복용합니다."
감기 - 바이러스성 호흡기 감염,감기 - 바이러스성 호흡기 감염증상,코 막힘 재채기 기침 콧물 인후 통증
감기 - 바이러스성 호흡기 감염,병원을 꼭 방문해야 하는감기 - 바이러스성 호흡기 감염증상,"점액 고름 혈액이 섞인 가래" 발열(38ºC를 초과하는 체온) 호흡곤란 감각 증상이 일주일 넘게 지속됩니다 정신착란 후각 또는 미각 상실
감염된 상처,감염된 상처자가 관리 방법,물과 비누로 상처 부위를 완전히 씻어냅니다 적어도 하루에 1번씩 붕대를 갈아주세요 병변 부위에 바람을 불지 않습니다 손과 손톱의 위생을 유지합니다
감염된 상처,감염된 상처증상,자상 또는 상처 상처 고름 발열/매우 더운 느낌 "과체중 또는 비만 BMI 25~29.9" 비만이며 BMI가 30 이상임
감염된 상처,병원을 꼭 방문해야 하는감염된 상처증상,발열(38ºC를 초과하는 체온) 초기 치료 후 2주 넘게 증상이 지속됩니다
감염성 각막염 또는 각막의 감염,감염성 각막염 또는 각막의 감염자가 관리 방법,항생제에 대해 일반의와 상의하세요 눈에 인공 또는 항히스타민제 점적약제를 사용합니다
감염성 각막염 또는 각막의 감염,감염성 각막염 또는 각막의 감염증상,눈 통증 빛이 불편함 한쪽 눈만 충혈됨 급성 시력 상실 눈꺼풀의 통증성 소수포
감염성 각막염 또는 각막의 감염,병원을 꼭 방문해야 하는감염성 각막염 또는 각막의 감염증상,진통제로도 멈추지 않는 통증 흐린 시야. 빛에 대한 불내성 또는 불편감 시각 장애
감염성 심내막염,감염성 심내막염자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상이 최소화될 때까지 부분적으로 휴식을 취합니다.
감염성 심내막염,감염성 심내막염증상,손가락과 발가락 결절 통증 및 붉어짐 39ºC~39.9ºC의 열 손바닥과 발바닥에 납작한 얼룩 피부에 붉은 반점이 있음 - 점상 출혈 움직일 때 흉통 증가
감염성 심내막염,병원 방문 필요 증상,없음
감염심내막염 (소아청소년과),감염심내막염 (소아청소년과)자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상이 최소화될 때까지 부분적으로 휴식을 취합니다.
감염심내막염 (소아청소년과),감염심내막염 (소아청소년과)증상,발열/매우 더운 느낌 심장이 평소보다 빠르게 뜀 광범위한 근육통 식욕 상실 "관절의 종창 열감 발적"
감염심내막염 (소아청소년과),병원 방문 필요 증상,없음
감염 - 패혈증,감염 - 패혈증증상,오한 및/또는 치아 떨림을 동반한 열 40℃ 이상의 고열 오한 간헐열 39ºC~39.9ºC의 열
감염 - 패혈증,병원 방문 필요 증상,없음
감염 - 패혈증,자가 관리 방법,없음
갑상샘중독발작-갑상선중독증,갑상샘중독발작-갑상선중독증증상,발열/매우 더운 느낌 돌출된 눈 불안 심장이 평소보다 빠르게 뜀 건성 피부
갑상샘중독발작-갑상선중독증,병원 방문 필요 증상,없음
갑상샘중독발작-갑상선중독증,자가 관리 방법,없음
갑상선기능저하증,갑상선기능저하증자가 관리 방법,"균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 일주일에 3번 규칙적으로 운동합니다 하루에 물 2리터를 섭취합니다. 레보티록신에 대해 일반의와 상의하세요 담배 소비량을 줄입니다
갑상선기능저하증,갑상선기능저하증증상,지침/피로 일주일에 배변 횟수가 3회 미만임(변비) 식욕 상실 지적 및/또는 운동 능력 저하 근육 수축에 의한 경직
갑상선기능저하증,병원을 꼭 방문해야 하는갑상선기능저하증증상,호흡곤란 호흡곤란 감각 삼키기 어려움 의식수준 상실
갑상선기능항진증 - 그레이브스병,갑상선기능항진증 - 그레이브스병증상,목의 갑상선 종괴가 커짐 돌출된 눈 미세 떨림 느리게 눈깜박임 비자발적 체중 감소
갑상선기능항진증 - 그레이브스병,병원 방문 필요 증상,없음
갑상선기능항진증 - 그레이브스병,자가 관리 방법,없음
강박장애 - OCD,강박장애 - OCD자가 관리 방법,심리치료 및 치료법에 대해 일반의와 상의하세요
강박장애 - OCD,강박장애 - OCD증상,의심증이 있어 매사를 다시 확인해야 함 불안을 줄이기 위한 반복적이고 무의미한 행동을 함 강박적 사고 감염에 대한 두려움 때문에 불안함 오염에 대한 두려움 때문에 물건을 만지지 않음
강박장애 - OCD,병원을 꼭 방문해야 하는강박장애 - OCD증상,자해를 부추기는 생각 자살을 생각 또는 시도함 충동 행동
강직성 척추염,강직성 척추염자가 관리 방법,"비스테로이드성 항염증제(아세틸살리실산 나프록센 세레콕시브 이부프로펜)를 복용합니다" 담배 소비량을 줄입니다 일주일에 3번 규칙적으로 운동합니다
강직성 척추염,강직성 척추염증상,척추의 아침 경직 척추 하부의 등 통증 운동하면 하부 등허리 통증이 완화됨 휴식 시 아래 허리 통증이 악화됨 휴식 시 경부 통증이 악화됨
강직성 척추염,병원을 꼭 방문해야 하는강직성 척추염증상,급작스럽게 나타난 눈 통증 흐린 시야. 빛에 대한 불내성 또는 불편감 흉부 또는 척추 외상
거미에 물림,거미에 물림자가 관리 방법,물과 비누로 상처 부위를 완전히 씻어냅니다 증상을 완화하기 위해 하루 3번 20분 동안 냉찜질을 합니다 "가려움증이 있는 경우 시럽 또는 항히스타민제 알약(디펜히드라민 세티리진 로라타딘 데스로라타딘)을 복용합니다" "진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 항생제에 대해 일반의와 상의하세요
거미에 물림,거미에 물림증상,쏘인 부위의 중증 돌발성 통증 물린 부위에 통증이 있음 쏘인 부위에 열감이 느껴짐 종창 피부가 붉어짐
거미에 물림,병원을 꼭 방문해야 하는거미에 물림증상,발열(38ºC를 초과하는 체온) 구토물 과도한 발한 진통제로도 멈추지 않는 통증 영향을 받은 부위의 색상이 검은색으로 변합니다 "감염징후가 있는 상처(열 발적 고통스러운 감각 발열 부기)"
건선,건선자가 관리 방법,매일 보습제를 바릅니다 심리적 스트레스를 유발하는 상황을 줄입니다 "비스테로이드성 항염증제(이부프로펜 디클로페낙 아스피린)와 같은 일반의약품을 복용하지 마세요" 오일과 지방이 함유된 순한 비누를 사용하여 매일 샤워합니다 적당량의 햇빛을 쬡니다 담배 소비량을 줄입니다 알코올 소비량을 줄입니다 "광선 요법 레티노이드 또는 국소 소랄렌 치료에 대해 일반의와 상의하세요"
건선,건선증상,직경 1~30cm의 피부 반점 껍질이 벗겨지면 투명한 필름이 나타남 병변을 긁으면 각질이 벗겨짐 투명한 레이어를 긁어내면 작은 출혈 지점이 나타남 피부 병변이 추위로 악화되고 열로 호전됨
건선,병원을 꼭 방문해야 하는건선증상,발열(38ºC를 초과하는 체온) 영향을 받은 부위에 통증이 있고 붉게 변하는 궤양 가렵고 갈라지고 투명한 액체나 고름이 흘러나오는 붉은 궤양
건선성 관절염,건선성 관절염자가 관리 방법,"통증이 있는 경우 파라세타몰 이부프로펜 또는 디클로페낙과 같은 진통제를 복용합니다." 증상이 있는 부위에 열을 가합니다 일주일에 3번 규칙적으로 운동합니다 "균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다"
건선성 관절염,건선성 관절염증상,손가락 관절에 통증이 있음 발가락 관절에 통증이 있음 "관절의 종창 열감 발적" 손가락이 부음 직경 1cm 이상의 피부 반점
건선성 관절염,병원을 꼭 방문해야 하는건선성 관절염증상,진통제로도 멈추지 않는 통증 발열(38ºC를 초과하는 체온) 관절로 움직일 수 없음
건염,건염자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상이 최소화될 때까지 부분적으로 휴식을 취합니다. 염증을 줄이기 위해 하루 3번 병변 부위에 국소적으로 냉찜질을 합니다 갑자기 움직이지 마세요
건염,건염증상,힘줄이 뼈와 결합하는 부위의 통증 관절을 움직이면 두 개의 고무 표면이 서로 마찰되는 느낌을 받음 한쪽 관절의 통증 사지 종창 "관절의 종창 열감 발적"
건염,병원을 꼭 방문해야 하는건염증상,진통제로도 멈추지 않는 통증 발열(38ºC를 초과하는 체온)
게실염,게실염자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상이 최소화될 때까지 부분적으로 휴식을 취합니다.
게실염,게실염증상,왼쪽 아랫배에 통증이 있음 발열/매우 더운 느낌 식욕 상실 국소 복통 묽은 피가 섞여 있는 대변
게실염,병원 방문 필요 증상,없음
견봉쇄골관절 탈구,견봉쇄골관절 탈구자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상을 완화하기 위해 하루 3번 20분 동안 냉찜질을 합니다
견봉쇄골관절 탈구,견봉쇄골관절 탈구증상,어깨 통증 부은 부위가 있는 어깨 변형 참을 수 없는 고통 쇄골 멍 어깨 움직임이 제한됨
견봉쇄골관절 탈구,병원 방문 필요 증상,없음
결막하출혈,결막하출혈자가 관리 방법,인공눈물을 사용합니다 눈을 비비지 않습니다
결막하출혈,결막하출혈증상,눈 흰자위의 출혈 눈 출혈 한쪽 눈만 충혈됨 눈 불편감
결막하출혈,병원을 꼭 방문해야 하는결막하출혈증상,눈 외상 안구 내 이상 물질
결신 발작 - 소발작,결신 발작 - 소발작증상,정신적 단절감 몇 초간 주변과 단절됨 의식 소실 감소 혼수 거동 불가능(강직증)
결신 발작 - 소발작,병원 방문 필요 증상,없음
결신 발작 - 소발작,자가 관리 방법,없음
결장암,결장암자가 관리 방법,"균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 하루에 물 2리터를 섭취합니다. 일주일에 3번 규칙적으로 운동합니다 심리적 스트레스를 유발하는 상황을 줄입니다
결장암,결장암증상,변비 및 설사가 번갈아 나옴 대변을 보고 싶지만 배변할 수 없음 대변을 보지 못함 체중 감소 묽은 피가 섞여 있는 대변
결장암,병원을 꼭 방문해야 하는결장암증상,급격히 증가하는 복통 장을 비우거나 가스를 배출할 수 없음 대변과 함께 구토 대변 배설물 내 혈액
결장직장 이물,결장직장 이물증상,묽은 피가 섞여 있는 대변 대변 내 진한 색 피 왼쪽 아랫배에 통증이 있음 항문 통증 국소 복통
결장직장 이물,병원 방문 필요 증상,없음
결장직장 이물,자가 관리 방법,없음
결절성 경화증 - 부르느뷰병,결절성 경화증 - 부르느뷰병자가 관리 방법,심리치료 및 치료법에 대해 일반의와 상의하세요 아이를 갖고 싶다면 유전상담을 받아보세요
결절성 경화증 - 부르느뷰병,결절성 경화증 - 부르느뷰병증상,아래 허리에 약간 융기된 황색 피부 반점이 있음 경련 사지의 경련 잇몸의 종괴 손톱 주위 또는 밑에 약 5mm의 불그스름한 덩어리가 있나요?
결절성 경화증 - 부르느뷰병,병원을 꼭 방문해야 하는결절성 경화증 - 부르느뷰병증상,두통 구토물 복시 균형 상실 혈뇨 호흡곤란
결절홍반,결절홍반자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상이 최소화될 때까지 부분적으로 휴식을 취합니다. 사지를 올린 상태를 유지합니다 실리콘 밴드나 압박 스타킹을 사용합니다.
결절홍반,결절홍반증상,림프절 피부가 화끈거림 무릎 아래의 림프절 통증 발열/매우 더운 느낌 두통 전신 병감(권태)
결절홍반,병원을 꼭 방문해야 하는결절홍반증상,진통제로도 멈추지 않는 통증 "해열제(파라세타몰 이부프로펜)로도 멈추지 않는 발열" "면역 결핍 병력(HIV 당뇨병 종양학적 장애 코르티코스테로이드 장기 사용)입니다."
결절홍반 (소아청소년과),결절홍반 (소아청소년과)자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 사지를 올린 상태를 유지합니다 증상이 최소화될 때까지 부분적으로 휴식을 취합니다. 실리콘 밴드나 압박 스타킹을 사용합니다.
결절홍반 (소아청소년과),결절홍반 (소아청소년과)증상,무릎 아래의 림프절 통증 림프절 피부가 화끈거림 지침/피로 발열/매우 더운 느낌 피부 변화
결절홍반 (소아청소년과),병원을 꼭 방문해야 하는결절홍반 (소아청소년과)증상,진통제로도 멈추지 않는 통증 "해열제(파라세타몰 이부프로펜)로도 멈추지 않는 발열" "면역 결핍 병력(HIV 당뇨병 종양학적 장애 코르티코스테로이드 장기 사용)입니다."
결핵성 수막염,결핵성 수막염자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." "구토가 있는 경우 항구토제(디멘히드리네이트 차살리실산 비스무트 온단세트론 메토클로프라미드)를 복용합니다"
결핵성 수막염,결핵성 수막염증상,성격 변화 "개구 편위 발음 변화 근력이나 감각의 변화" 의식 소실 감소 근육 수축에 의한 경직 발열/매우 더운 느낌
결핵성 수막염,병원 방문 필요 증상,없음
경계성 인격 특성,경계성 인격 특성자가 관리 방법,분노 폭발과 충동적 행동을 유발하는 요인을 파악하는 방법을 알아봅니다 호흡 및 명상 기술을 배웁니다 다른 사람의 감정이나 생각을 추측하지 마세요 심리치료 및 치료법에 대해 일반의와 상의하세요
경계성 인격 특성,경계성 인격 특성증상,충동성(자제력 부족) 갑작스러운 감정불안정 자살 시도 자해 경향 알코올 및/또는 약물 복용에 대한 자제력 부족
경계성 인격 특성,병원을 꼭 방문해야 하는경계성 인격 특성증상,자해를 부추기는 생각 충동 행동 자살을 생각 또는 시도함 알코올 및 불법 약물 과다 복용
경골 골절,경골 골절자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다."
경골 골절,경골 골절증상,하지 통증 다리 변형 걸을 때와 쉴 때 다리에 통증이 있음 걸을 때 발 통증이 심해짐 최근에 절뚝거리기 시작함
경골 골절,병원 방문 필요 증상,없음
